twelfth,lockring,forehead,revise,tools,treasury,skating,doll,electronic,shooter,dairy,chilean
1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
night,washer,unicorn,doctor,server,note,ice,china,piano,phoenix,queen,chocolate
